hour,day,month,day_of_week,temp,humidity,wind_speed,pm2_5,pm10,co,no2,so2,o3,aqi,aqi_24h_ago,aqi_48h_ago,aqi_72h_ago,aqi_change_24h,aqi_rolling_mean_24h,aqi_rolling_std_24h
2,25,1,3,15.7,80,11.2,80.6,129.9,1510.0,72.7,21.1,15.0,169,139.0,86.0,167.0,30.0,146.5,13.374212695236002
23,30,1,1,21.7,87,12.0,25.3,65.9,448.0,35.4,6.6,41.0,81,75.0,134.0,157.0,6.0,79.25,6.374200717160234
19,5,2,0,22.5,79,10.2,22.1,43.4,473.0,32.8,7.4,87.0,75,69.0,75.0,122.0,6.0,83.875,19.193097717670074
15,11,2,6,28.0,14,9.4,14.1,33.6,223.0,3.0,11.3,139.0,60,73.0,74.0,63.0,-13.0,82.54166666666667,14.095880269771856
12,17,2,5,28.9,19,6.5,30.5,53.4,469.0,21.6,28.0,155.0,91,82.0,125.0,101.0,9.0,107.91666666666667,29.829831387048355
8,23,2,4,16.4,58,7.8,41.9,82.4,1201.0,52.3,13.7,17.0,117,77.0,74.0,77.0,40.0,85.45833333333333,19.357010114677806
5,29,2,3,18.4,54,11.0,23.6,46.2,300.0,7.1,10.2,82.0,78,85.0,114.0,78.0,-7.0,84.66666666666667,6.098229726496885
1,6,3,2,17.0,37,11.7,20.4,34.5,438.0,25.3,12.7,55.0,72,90.0,101.0,69.0,-18.0,74.375,7.665918362978917
22,11,3,0,22.4,89,9.4,28.6,59.8,377.0,23.2,7.8,75.0,87,112.0,100.0,95.0,-25.0,77.54166666666667,11.894387301386853
18,17,3,6,30.6,21,19.8,25.3,57.5,374.0,18.3,14.6,150.0,81,77.0,73.0,107.0,4.0,69.58333333333333,6.323982418003305
15,23,3,5,30.6,53,25.8,29.0,109.7,235.0,7.2,5.6,111.0,88,81.0,84.0,86.0,7.0,74.20833333333333,8.048651880997081
11,29,3,4,28.1,54,22.1,28.2,115.9,259.0,6.6,9.1,150.0,87,61.0,65.0,70.0,26.0,68.70833333333333,13.192485234658983
8,4,4,3,25.4,79,12.3,18.5,49.6,424.0,28.5,7.9,100.0,69,95.0,75.0,109.0,-26.0,88.33333333333333,19.42581578314284
4,10,4,2,23.1,92,13.7,14.1,35.7,158.0,6.8,4.2,52.0,60,55.0,68.0,63.0,5.0,61.166666666666664,4.574662417261397
1,16,4,1,24.5,92,3.9,12.5,32.0,239.0,14.9,4.7,42.0,57,104.0,61.0,53.0,-47.0,72.0,14.35572904877204
21,21,4,6,26.0,87,17.1,22.4,49.2,282.0,18.1,4.4,65.0,76,84.0,91.0,99.0,-8.0,78.16666666666667,6.239193556213979
18,27,4,5,28.8,69,19.9,16.8,70.3,257.0,13.6,5.4,84.0,65,73.0,61.0,75.0,-8.0,64.83333333333333,4.280051469285007
